_id,name,Description,CreationDate,ConfigUser
1,TNT,-,2023-10-10T13:08:07.957Z,
2,FM,-,2023-10-10T13:08:11.397Z,
3,Climatisation,-,2023-10-10T13:08:04.565Z,
4,Energie,-,2023-10-10T13:08:00.018Z,
5,AM,-,2023-10-24T13:30:25.137Z,
6,Transmission,-,2023-12-12T12:57:05.220Z,
7,Station Terrienne,-,2023-12-18T11:42:31.759Z,
8,Infrastructures,-,2024-11-22T08:36:08.974Z,
9,Compteur,-,2024-01-15T11:14:13.758Z,
10,Télégestion/Télésurveillance,-,2024-12-20T15:23:48.832Z,
11,TV Analogique,-,2024-09-17T14:32:11.135Z,
12,Divers,-,2024-11-22T08:35:36.452Z,
