_id,model,Serial,Barcode,prix,price,devise,Situation,PassOg,Description,ConfigUser,CreationDate,DMS,Photo,Power,files,localisation
1,PowerEdge R250,DYBH904,85953,1,12950,Mad,En stock,false,,,,,,,,
2,PowerEdge R250,CYBH904,85946,1,12950,Mad,En stock,false,,,,,,,,
3,PowerEdge R250,FYBH904,85955,1,12950,Mad,En stock,false,,,,,,,,
4,PowerEdge R250,GYBH904,85948,1,12950,Mad,En stock,false,,,,,,,,
5,PowerEdge R250,HYBH904,85949,1,12950,Mad,En stock,false,,,,,,,,
6,PowerEdge R250,BYBH904,85944,1,12950,Mad,En stock,false,,,,,,,,
7,PowerEdge R250,6YBH904,85945,1,12950,Mad,En stock,false,,,,,,,,
8,PowerEdge R250,21CH904,85952,1,12950,Mad,En stock,false,,,,,,,,
9,PowerEdge R250,11CH904,85947,1,12950,Mad,En stock,false,,,,,,,,
10,PowerEdge R250,31CH904,85954,1,12950,Mad,En stock,false,,,,,,,,
11,PowerEdge R250,41CH904,85951,1,12950,Mad,En stock,false,,,,,,,,
12,PowerEdge R250,J0CH904,85957,1,12950,Mad,En stock,false,,,,,,,,
13,PowerEdge R250,90CH904,85913,1,12950,Mad,En service,false,Au labo pour les test VPN,,,,,,,
14,PowerEdge R250,80CH904,85912,1,12950,Mad,En service,false,Au labo pour les tests VPN,,,,,,,
15,PowerEdge R250,60CH904,85914,1,12950,Mad,En service,false,Au Labo pour les tests VPN,,,,,,,
16,PowerEdge R250,70CH904,85921,1,12950,Mad,En stock,false,,,,,,,,
17,PowerEdge R250,B0CH904,85920,1,12950,Mad,En service,false,Au labo pour les tests VPN,,,,,,,
18,PowerEdge R250,8YBH904,85958,1,12950,Mad,En stock,false,,,,,,,,
19,PowerEdge R250,D1CH904,85956,1,12950,Mad,En stock,false,,,,,,,,
20,PowerEdge R250,B1CH904,85962,1,12950,Mad,En stock,false,,,,,,,,
21,PowerEdge R250,F1CH904,85964,1,12950,Mad,En stock,false,,,,,,,,
22,PowerEdge R250,G1CH904,85966,1,12950,Mad,En stock,false,,,,,,,,
23,PowerEdge R250,C1CH904,85967,1,12950,Mad,En stock,false,,,,,,,,
24,PowerEdge R250,9YBH904,85950,1,12950,Mad,En stock,false,,,,,,,,
25,PowerEdge R250,68P5B04,85965,1,12950.00,Mad,En service,false,Zabbix,h.zagrari,2025-01-21T11:07:09.278Z,2024-12-01T00:00:00.000Z,,,,Salle d'émission
26,PowerEdge R250,38P5B04,85960,1,12950,Mad,En stock,false,,,,,,,,
27,PowerEdge R250,78P5B04,85963,1,12950,Mad,En stock,false,,,,,,,,
28,PowerEdge R250,48P5B04,85959,1,12950,Mad,En stock,false,,,,,,,,
29,PowerEdge R250,58P5B04,85961,1,12950,Mad,En stock,false,,,,,,,,
30,PowerEdge R250,7YBH904,85911,1,12950,Mad,En stock,false,,,,,,,,
31,PowerEdge R250,3ZBH904,85918,1,12950,Mad,En stock,false,,,,,,,,
32,PowerEdge R250,JYBH904,85917,1,12950.00,Mad,En stock,false,,,2025-02-20T12:09:28.441Z,,,,,
33,PowerEdge R250,4ZBH904,85916,1,12950,Mad,En service,false,VPN2,,,,,,,
34,PowerEdge R250,2ZBH904,85915,1,12950,Mad,En service,false,VPN1,,,,,,,
35,PowerEdge R250,1ZBH904,85919,1,12950,Mad,En stock,false,,,,,,,,
36,PowerEdge R250,8ZBH904,85943,2,20240,Mad,En stock,false,,,,,,,,
37,PowerEdge R250,9ZBH904,85942,2,20240,Mad,En stock,false,,,,,,,,
