_id,Site,Province,Region,SNRT_RS,Latitude,Longitude,Altitude,Category,TNT,FM,ConfigUser,CreationDate,Photo,control,Code,Fixe,Gsm,files,AM,Administration,FH,ST
1,Abteh,TanTan,Guelmim-Oued Noun,Agadir,27.90268,-11.45013,96,M,true,true,h.zagrari,2025-01-24T11:55:32.502Z,sites/logo.png,true,,,0682092372,,false,false,false,false
2,Aday,Guelmim,Guelmim-Oued Noun,Agadir,29.14805,-9.29888,707,P,true,true,h.zagrari,2024-12-03T11:00:32.381Z,,true,4446,,0660130381,,false,false,false,false
3,Adrej,Sefrou,Fès-Meknès,Fès-Meknès,33.618333,-4.434553,985,P,true,true,m.benhmidou,2024-08-18T17:58:32.290Z,,false,4077,,0674908930,,false,false,false,false
4,Afourar,Azilal,Beni Mellal-Khénifra,Casablanca,32.233611,-6.532222,449,P,true,true,l.elbouti,2024-08-18T18:00:12.111Z,,false,4047,,0674908903,,false,false,false,false
5,Afra-ait-khalfoun,Zagora,Darâa-Tafilalet,Marrakech,30.710866,-6.256499,955,P,true,true,b.haddad,2024-08-18T18:01:02.892Z,,false,5000,,0674908908,,false,false,false,false
6,Agadir Oufella,Agadir,Sous-Massa,Agadir,30.43163,-9.62556,187,G,true,true,h.aoufir,2024-08-18T18:01:21.405Z,,true,4771,,0657580259,,false,false,false,false
7,Agdz,Zagora,Darâa-Tafilalet,Marrakech,30.694444,-6.445278,952,P,true,true,b.haddad,2024-08-18T18:01:55.734Z,,false,5000,,0674908908,,false,false,false,false
8,Aghbala,Beni Mellal,Beni Mellal-Khénifra,Fès-Meknès,32.2753,-5.362,1133,P,true,true,m.benhmidou,2024-08-18T18:14:01.710Z,,false,4077,,0674908930,,false,false,false,false
9,Aghbalou N'Kerdous,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.766302,-5.31757,1242,P,true,true,m.benhmidou,2024-08-18T18:14:36.329Z,,false,4077,,0674908930,,false,false,false,false
10,Ahfir,Berkane,L'Oriental,Oujda,34.943611,-2.098333,259,P,true,false,a.lharchichi,2024-08-18T18:15:13.699Z,,false,,,0674908926,,false,false,false,false
11,Ain Chair,Figuig,L'Oriental,Oujda,32.216539,-2.522703,983,P,true,true,h.zagrari,2025-01-15T14:07:33.074Z,,true,4062,,0674908921,,false,false,false,false
12,Ain Chwater,Figuig,L'Oriental,Oujda,31.995278,-2.967778,827,P,true,true,h.zagrari,2025-01-15T14:07:36.586Z,,true,4062,,0674908921,,false,false,false,false
13,Ain-chock,Casablanca,Grand Casablanca-Settat,Casablanca,33.536944,-7.582222,126,G,true,true,h.zagrari,2024-08-19T16:40:19.748Z,,true,4060,0674908880,0674908919,,false,true,false,false
