INFO 2025-08-11 00:18:20,218 autoreload Watching for file changes with StatReloader
INFO 2025-08-11 00:18:43,817 basehttp "GET /api/api/analytics/status-distribution/ HTTP/1.1" 200 198
INFO 2025-08-11 00:18:43,827 basehttp "GET /api/api/analytics/locations/ HTTP/1.1" 200 21158
INFO 2025-08-11 00:18:43,837 basehttp "GET /api/api/analytics/evolution/?months=12 HTTP/1.1" 200 823
INFO 2025-08-11 00:20:07,867 autoreload Watching for file changes with StatReloader
INFO 2025-08-11 00:20:16,107 basehttp "GET / HTTP/1.1" 200 32553
INFO 2025-08-11 00:20:16,273 basehttp "GET /static/dashboard/css/styles.css?v=1754871616 HTTP/1.1" 200 5452
INFO 2025-08-11 00:20:16,310 basehttp "GET /static/dashboard/js/main.js?v=1754871616 HTTP/1.1" 200 35443
INFO 2025-08-11 00:20:18,022 basehttp "GET /api/equipments/? HTTP/1.1" 200 3021
INFO 2025-08-11 00:20:18,148 basehttp "GET /api/equipments/?group_by=status HTTP/1.1" 200 491
INFO 2025-08-11 00:20:18,182 basehttp "GET /api/api/analytics/status-distribution/ HTTP/1.1" 200 198
INFO 2025-08-11 00:20:18,209 basehttp "GET /api/analytics/status-distribution/ HTTP/1.1" 200 198
INFO 2025-08-11 00:20:18,248 basehttp "GET /api/api/analytics/evolution/?months=12 HTTP/1.1" 200 823
INFO 2025-08-11 00:20:18,320 basehttp "GET /api/equipments/? HTTP/1.1" 200 3021
INFO 2025-08-11 00:20:18,363 basehttp "GET /api/api/analytics/locations/ HTTP/1.1" 200 21158
INFO 2025-08-11 00:20:18,445 basehttp "GET /api/equipments/?group_by=location HTTP/1.1" 200 12529
INFO 2025-08-11 00:20:18,447 basehttp "GET /api/equipments/?group_by=status& HTTP/1.1" 200 491
INFO 2025-08-11 00:20:19,825 basehttp "GET /api/equipments/?group_by=creation_date& HTTP/1.1" 200 28452
INFO 2025-08-11 00:20:28,994 basehttp "GET /api/equipements/ HTTP/1.1" 200 29416
INFO 2025-08-11 00:20:30,501 basehttp "GET /api/equipments/?group_by=status HTTP/1.1" 200 491
INFO 2025-08-11 00:20:30,678 basehttp "GET /api/equipments/?group_by=location HTTP/1.1" 200 12529
INFO 2025-08-11 00:23:43,744 basehttp "GET /api/api/analytics/locations/ HTTP/1.1" 200 21158
INFO 2025-08-11 00:23:43,764 basehttp "GET /api/api/analytics/status-distribution/ HTTP/1.1" 200 198
INFO 2025-08-11 00:23:43,789 basehttp "GET /api/api/analytics/evolution/?months=12 HTTP/1.1" 200 823
INFO 2025-08-11 00:28:43,673 basehttp "GET /api/api/analytics/status-distribution/ HTTP/1.1" 200 198
INFO 2025-08-11 00:28:43,734 basehttp "GET /api/api/analytics/evolution/?months=12 HTTP/1.1" 200 823
INFO 2025-08-11 00:28:43,744 basehttp "GET /api/api/analytics/locations/ HTTP/1.1" 200 21158
INFO 2025-08-11 00:32:14,920 basehttp "GET /api/ HTTP/1.1" 200 32553
INFO 2025-08-11 00:32:15,121 basehttp "GET /static/dashboard/css/styles.css?v=1754872334 HTTP/1.1" 200 5452
INFO 2025-08-11 00:32:15,131 basehttp "GET /static/dashboard/js/main.js?v=1754872334 HTTP/1.1" 200 35443
INFO 2025-08-11 00:32:17,208 basehttp "GET /api/equipments/? HTTP/1.1" 200 3021
INFO 2025-08-11 00:32:17,219 basehttp "GET /api/api/analytics/status-distribution/ HTTP/1.1" 200 198
INFO 2025-08-11 00:32:17,215 basehttp "GET /api/equipments/?group_by=status HTTP/1.1" 200 491
INFO 2025-08-11 00:32:17,290 basehttp "GET /api/api/analytics/locations/ HTTP/1.1" 200 21158
INFO 2025-08-11 00:32:17,395 basehttp "GET /api/analytics/status-distribution/ HTTP/1.1" 200 198
INFO 2025-08-11 00:32:17,415 basehttp "GET /api/equipments/? HTTP/1.1" 200 3021
INFO 2025-08-11 00:32:17,518 basehttp "GET /api/api/analytics/evolution/?months=12 HTTP/1.1" 200 823
INFO 2025-08-11 00:32:17,531 basehttp "GET /api/equipments/?group_by=status& HTTP/1.1" 200 491
INFO 2025-08-11 00:32:17,555 basehttp "GET /api/equipments/?group_by=location HTTP/1.1" 200 12529
INFO 2025-08-11 00:32:18,327 basehttp "GET /api/equipments/?group_by=creation_date& HTTP/1.1" 200 28452
INFO 2025-08-11 00:32:20,374 basehttp "GET /api/equipements/ HTTP/1.1" 200 29497
INFO 2025-08-11 00:32:20,602 basehttp "GET /static/dashboard/js/main.js?v= HTTP/1.1" 304 0
INFO 2025-08-11 00:32:22,335 basehttp "GET /api/equipments/?group_by=status HTTP/1.1" 200 491
INFO 2025-08-11 00:32:22,494 basehttp "GET /api/equipments/?group_by=location HTTP/1.1" 200 12529
